userName,score,at,content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
R I,1,2023-08-26 03:18:13,"Kalo belum siap sebaiknya tidak iklan promo upgrade2 paylater untuk di tokped dll, setelah upgrade, limit gopaylater banyak tapi ga bisa dipakai selalu ups..coba lg mulu, belajarlah dari si oren kompetitor sebelah, sat set, limit naik ya sat set mempermudah ga memperibet, tdinya pilih tokped ama gopay krn simple skrg malah ribet",Negatif,kalo belum siap sebaiknya tidak iklan promo upgrade paylater untuk di tokped dll setelah upgrade limit gopaylater banyak tapi ga bisa dipakai selalu upscoba lg mulu belajarlah dari si oren kompetitor sebelah sat set limit naik ya sat set mempermudah ga memperibet tdinya pilih tokped ama gopay krn simple skrg malah ribet,kalo iklan promo upgrade paylater tokped dll upgrade limit gopaylater ga dipakai upscoba lg mulu belajarlah si oren kompetitor sebelah sat set limit ya sat set mempermudah ga memperibet tdinya pilih tokped ama gopay krn simple skrg ribet,"['kalo', 'iklan', 'promo', 'upgrade', 'paylater', 'tokped', 'dll', 'upgrade', 'limit', 'gopaylater', 'ga', 'dipakai', 'upscoba', 'lg', 'mulu', 'belajarlah', 'si', 'oren', 'kompetitor', 'sebelah', 'sat', 'set', 'limit', 'ya', 'sat', 'set', 'mempermudah', 'ga', 'memperibet', 'tdinya', 'pilih', 'tokped', 'ama', 'gopay', 'krn', 'simple', 'skrg', 'ribet']",kalo iklan promo upgrade paylater tokped dll upgrade limit gopaylater ga pakai upscoba lg mulu bajar si oren kompetitor belah sat set limit ya sat set mudah ga memperibet tdinya pilih tokped ama gopay krn simple skrg ribet
Putry anggayani,1,2023-08-26 03:06:15,Ko saya setelah update gopay later ada limitnya tapi gk bisa di gunain lagi seperti dulu ? Pafahal dulu pke paylter ya fidya masih lancar² aja dan gk ada kendala sekarang di kasih limit tapi gk bsa di pake,Negatif,ko saya setelah update gopay later ada limitnya tapi gk bisa di gunain lagi seperti dulu  pafahal dulu pke paylter ya fidya masih lancar aja dan gk ada kendala sekarang di kasih limit tapi gk bsa di pake,ko update gopay later limitnya gk gunain pafahal pke paylter ya fidya lancar aja gk kendala kasih limit gk bsa pake,"['ko', 'update', 'gopay', 'later', 'limitnya', 'gk', 'gunain', 'pafahal', 'pke', 'paylter', 'ya', 'fidya', 'lancar', 'aja', 'gk', 'kendala', 'kasih', 'limit', 'gk', 'bsa', 'pake']",ko update gopay later limit gk gunain pafahal pke paylter ya fidya lancar aja gk kendala kasih limit gk bsa pake
Rudiono Driver,1,2023-08-26 02:05:13,"Dari awal pasang aplikasi ini, sampe sekarang ga bisa digunain...setiap mau dicoba buat pesan food, goride, gocar slalu ga bisa.. akun anda diblokir tulisan nya...tapi alasan nya kenapa, ga dikasih tau...aneh nya promo masuk terus, disuruh gunakan promo anda..saat dicoba gagal terus...",Negatif,dari awal pasang aplikasi ini sampe sekarang ga bisa digunainsetiap mau dicoba buat pesan food goride gocar slalu ga bisa akun anda diblokir tulisan nyatapi alasan nya kenapa ga dikasih tauaneh nya promo masuk terus disuruh gunakan promo andasaat dicoba gagal terus,pasang aplikasi sampe ga digunainsetiap dicoba pesan food goride gocar slalu ga akun diblokir tulisan nyatapi alasan nya ga dikasih tauaneh nya promo masuk disuruh promo andasaat dicoba gagal,"['pasang', 'aplikasi', 'sampe', 'ga', 'digunainsetiap', 'dicoba', 'pesan', 'food', 'goride', 'gocar', 'slalu', 'ga', 'akun', 'diblokir', 'tulisan', 'nyatapi', 'alasan', 'nya', 'ga', 'dikasih', 'tauaneh', 'nya', 'promo', 'masuk', 'disuruh', 'promo', 'andasaat', 'dicoba', 'gagal']",pasang aplikasi sampe ga digunainsetiap coba pesan food goride gocar slalu ga akun blokir tulis nyatapi alas nya ga kasih tauaneh nya promo masuk suruh promo andasaat coba gagal
Cantika Adlina,1,2023-08-26 02:02:35,"Payah bgt, Ngedownload biar mempermudah malah sewaktu dibutuhin ngebug parah, sama sekali gabisa diapa apain",Negatif,payah bgt ngedownload biar mempermudah malah sewaktu dibutuhin ngebug parah sama sekali gabisa diapa apain,payah bgt ngedownload biar mempermudah dibutuhin ngebug parah gabisa diapa apain,"['payah', 'bgt', 'ngedownload', 'biar', 'mempermudah', 'dibutuhin', 'ngebug', 'parah', 'gabisa', 'diapa', 'apain']",payah bgt ngedownload biar mudah dibutuhin ngebug parah gabisa apa apain
Djurnawati Zainal Amin,1,2023-08-26 01:34:28,Aplikasi suka lemot saat dibuka untuk cek pemesanan. Kemudian ingin konfirmasi resto untuk cek pesanan tidak bisa dilakukan. Sedangkan chat driver suka lama di responnya.,Negatif,aplikasi suka lemot saat dibuka untuk cek pemesanan kemudian ingin konfirmasi resto untuk cek pesanan tidak bisa dilakukan sedangkan chat driver suka lama di responnya,aplikasi suka lemot dibuka cek pemesanan konfirmasi resto cek pesanan chat driver suka responnya,"['aplikasi', 'suka', 'lemot', 'dibuka', 'cek', 'pemesanan', 'konfirmasi', 'resto', 'cek', 'pesanan', 'chat', 'driver', 'suka', 'responnya']",aplikasi suka lot buka cek mesan konfirmasi resto cek pesan chat driver suka responnya
mulia susanti,5,2023-08-26 01:28:28,"Sangat membantu untuk setiap perjalanan,, promo nya pun banyak,,🙏🙏",Positif,sangat membantu untuk setiap perjalanan promo nya pun banyak,membantu perjalanan promo nya,"['membantu', 'perjalanan', 'promo', 'nya']",bantu jalan promo nya
Susigit Alioedden Al Misri,1,2023-08-25 18:08:49,"Era e-KTP digital, belum terintegrasi dg data negara pada disdukcapil U Kesulitan upgrade data akun masih harus foto fisik kartu e-KTP jadul sudah dikembalikan ke negara. Sampai detik ini rating diketik, id akun saya digantung belum SUKSES terverifikasi",Negatif,era ektp digital belum terintegrasi dg data negara pada disdukcapil u kesulitan upgrade data akun masih harus foto fisik kartu ektp jadul sudah dikembalikan ke negara sampai detik ini rating diketik id akun saya digantung belum sukses terverifikasi,era ektp digital terintegrasi dg data negara disdukcapil u kesulitan upgrade data akun foto fisik kartu ektp jadul dikembalikan negara detik rating diketik id akun digantung sukses terverifikasi,"['era', 'ektp', 'digital', 'terintegrasi', 'dg', 'data', 'negara', 'disdukcapil', 'u', 'kesulitan', 'upgrade', 'data', 'akun', 'foto', 'fisik', 'kartu', 'ektp', 'jadul', 'dikembalikan', 'negara', 'detik', 'rating', 'diketik', 'id', 'akun', 'digantung', 'sukses', 'terverifikasi']",era ektp digital integrasi dg data negara disdukcapil u sulit upgrade data akun foto fisik kartu ektp jadul kembali negara detik rating ketik id akun gantung sukses verifikasi
Yuda Romdona,1,2023-08-25 15:58:18,"Awalnya limit saya di findaya 1.2 jt pas upgrade malah jadi 500 ribu. bukan upgrade namanya gojeg tercinta. itu downgrade. nyesel banget pindah. padahal gue ga pernah telat bayar tagihan. BUAT YANG LAIN, JANGAN DI UPDGRADE KE GO PAYLATER BARU. YG ADA ENTAR NYESEL GOJEK. MAKIN KESINI, MAKIN KESANA. MENDINGAN PAKE GRAB MAKIN PARAH. PELANGGAN DARI LAMA. DIBIKIN KECEWA.",Negatif,awalnya limit saya di findaya  jt pas upgrade malah jadi  ribu bukan upgrade namanya gojeg tercinta itu downgrade nyesel banget pindah padahal gue ga pernah telat bayar tagihan buat yang lain jangan di updgrade ke go paylater baru yg ada entar nyesel gojek makin kesini makin kesana mendingan pake grab makin parah pelanggan dari lama dibikin kecewa,limit findaya jt pas upgrade ribu upgrade namanya gojeg tercinta downgrade nyesel banget pindah gue ga telat bayar tagihan updgrade go paylater yg entar nyesel gojek kesini kesana mendingan pake grab parah pelanggan dibikin kecewa,"['limit', 'findaya', 'jt', 'pas', 'upgrade', 'ribu', 'upgrade', 'namanya', 'gojeg', 'tercinta', 'downgrade', 'nyesel', 'banget', 'pindah', 'gue', 'ga', 'telat', 'bayar', 'tagihan', 'updgrade', 'go', 'paylater', 'yg', 'entar', 'nyesel', 'gojek', 'kesini', 'kesana', 'mendingan', 'pake', 'grab', 'parah', 'pelanggan', 'dibikin', 'kecewa']",limit findaya jt pas upgrade ribu upgrade nama gojeg cinta downgrade nyesel banget pindah gue ga telat bayar tagih updgrade go paylater yg entar nyesel gojek kesini kesana mending pake grab parah langgan bikin kecewa
Anisya Rajh,2,2023-08-25 14:36:40,"Tolong untuk driver gocarnya mohon sopan pada customer, dan saya harap mobil dan plat nomornya yg sesuai biar kami para costumer gak bingung,saya mengalami hal yg kurang mengenakkan,yaitu berupa pengancaman",Negatif,tolong untuk driver gocarnya mohon sopan pada customer dan saya harap mobil dan plat nomornya yg sesuai biar kami para costumer gak bingungsaya mengalami hal yg kurang mengenakkanyaitu berupa pengancaman,tolong driver gocarnya mohon sopan customer harap mobil plat nomornya yg sesuai biar costumer gak bingungsaya mengalami yg mengenakkanyaitu pengancaman,"['tolong', 'driver', 'gocarnya', 'mohon', 'sopan', 'customer', 'harap', 'mobil', 'plat', 'nomornya', 'yg', 'sesuai', 'biar', 'costumer', 'gak', 'bingungsaya', 'mengalami', 'yg', 'mengenakkanyaitu', 'pengancaman']",tolong driver gocarnya mohon sopan customer harap mobil plat nomor yg sesuai biar costumer gak bingungsaya alami yg mengenakkanyaitu ancam
Email Alter,1,2023-08-25 14:29:11,"Aplikasi taik. Ngehubungkan ke kartu debit/kredit selalu bermasalah jaringan, padahal ditengah kota pake wifi kencang. Langsung uninstal, mending download grab.",Negatif,aplikasi taik ngehubungkan ke kartu debitkredit selalu bermasalah jaringan padahal ditengah kota pake wifi kencang langsung uninstal mending download grab,aplikasi taik ngehubungkan kartu debitkredit bermasalah jaringan ditengah kota pake wifi kencang langsung uninstal mending download grab,"['aplikasi', 'taik', 'ngehubungkan', 'kartu', 'debitkredit', 'bermasalah', 'jaringan', 'ditengah', 'kota', 'pake', 'wifi', 'kencang', 'langsung', 'uninstal', 'mending', 'download', 'grab']",aplikasi taik ngehubungkan kartu debitkredit masalah jaring tengah kota pake wifi kencang langsung uninstal mending download grab
Natha Alika,4,2023-08-25 13:59:14,"sejauh ini sih gak ada masalah ya meski promo tuh syulitt ditemukan. Tapi mungkin yang bisa dijadiin perbaikan itu alamat, rada susah buat nentuin titik alamatnya jadi kadang kalo ketemu beberapa driver suka ngomel-ngomel ""beda sama di titik"" mungkin lain kali, titik sama alamatnya bisa kita tentuin sendiri ya, soalnya tetangga saya ada di map tapi rumah saya enggak padahal setembok",Positif,sejauh ini sih gak ada masalah ya meski promo tuh syulitt ditemukan tapi mungkin yang bisa dijadiin perbaikan itu alamat rada susah buat nentuin titik alamatnya jadi kadang kalo ketemu beberapa driver suka ngomelngomel beda sama di titik mungkin lain kali titik sama alamatnya bisa kita tentuin sendiri ya soalnya tetangga saya ada di map tapi rumah saya enggak padahal setembok,sih gak ya promo tuh syulitt ditemukan dijadiin perbaikan alamat rada susah nentuin titik alamatnya kadang kalo ketemu driver suka ngomelngomel beda titik kali titik alamatnya tentuin ya tetangga map rumah setembok,"['sih', 'gak', 'ya', 'promo', 'tuh', 'syulitt', 'ditemukan', 'dijadiin', 'perbaikan', 'alamat', 'rada', 'susah', 'nentuin', 'titik', 'alamatnya', 'kadang', 'kalo', 'ketemu', 'driver', 'suka', 'ngomelngomel', 'beda', 'titik', 'kali', 'titik', 'alamatnya', 'tentuin', 'ya', 'tetangga', 'map', 'rumah', 'setembok']",sih gak ya promo tuh syulitt temu dijadiin baik alamat rada susah nentuin titik alamat kadang kalo ketemu driver suka ngomelngomel beda titik kali titik alamat tentuin ya tetangga map rumah tembok
Diana Malik,1,2023-08-25 13:22:16,"Disuruh upgrade Gopay Later, giliran mau Upgrade ga bisa. Kok bisa bisanya inisial Nama saya ""M"", padahal bukan. Dan mau isi Tgl.lahir juga ga bisa² Payah nih Aplikasi. Auto UNINSTALL!",Negatif,disuruh upgrade gopay later giliran mau upgrade ga bisa kok bisa bisanya inisial nama saya m padahal bukan dan mau isi tgllahir juga ga bisa payah nih aplikasi auto uninstall,disuruh upgrade gopay later giliran upgrade ga bisanya inisial nama m isi tgllahir ga payah nih aplikasi auto uninstall,"['disuruh', 'upgrade', 'gopay', 'later', 'giliran', 'upgrade', 'ga', 'bisanya', 'inisial', 'nama', 'm', 'isi', 'tgllahir', 'ga', 'payah', 'nih', 'aplikasi', 'auto', 'uninstall']",suruh upgrade gopay later gilir upgrade ga bisa inisial nama m isi tgllahir ga payah nih aplikasi auto uninstall
mukhlis madura,1,2023-08-25 12:44:56,Bukan krn permintaan yg byk atsu nga ada driver.... Driver sekitar byk.... tp pesanan muter cari driver.... metode hemat atau bayar 5rb rata2 jam tunggunya lebih lama dpt driver... Murah sih tp sungguh tak masuk akal sampai 45 menit baru dpt driver...,Negatif,bukan krn permintaan yg byk atsu nga ada driver driver sekitar byk tp pesanan muter cari driver metode hemat atau bayar rb rata jam tunggunya lebih lama dpt driver murah sih tp sungguh tak masuk akal sampai  menit baru dpt driver,krn permintaan yg byk atsu nga driver driver byk tp pesanan muter cari driver metode hemat bayar rb jam tunggunya dpt driver murah sih tp sungguh masuk akal menit dpt driver,"['krn', 'permintaan', 'yg', 'byk', 'atsu', 'nga', 'driver', 'driver', 'byk', 'tp', 'pesanan', 'muter', 'cari', 'driver', 'metode', 'hemat', 'bayar', 'rb', 'jam', 'tunggunya', 'dpt', 'driver', 'murah', 'sih', 'tp', 'sungguh', 'masuk', 'akal', 'menit', 'dpt', 'driver']",krn minta yg byk atsu nga driver driver byk tp pesan muter cari driver metode hemat bayar rb jam tunggu dpt driver murah sih tp sungguh masuk akal menit dpt driver
Daniel Cahyo,4,2023-08-25 10:56:28,"Sebenarnya suka sama aplikasi ini, namun sayang belum bisa menggunakan semua fitur yang ada. Contoh gopay later & gopay pinjam 😟",Positif,sebenarnya suka sama aplikasi ini namun sayang belum bisa menggunakan semua fitur yang ada contoh gopay later  gopay pinjam ,suka aplikasi sayang fitur contoh gopay later gopay pinjam,"['suka', 'aplikasi', 'sayang', 'fitur', 'contoh', 'gopay', 'later', 'gopay', 'pinjam']",suka aplikasi sayang fitur contoh gopay later gopay pinjam
Amman Rabbani,2,2023-08-25 09:49:15,"Saya mau daftar premium gopay plus,sudah punya ktp saya tapi malah dituduh gak sesuai di dukcapil,padahal di dana berhasil premium aneh betul. Dan saya ulang berapa kali dengan sempurna tetap tidak bisa dengan alasan belum terdaftar di dukcapil",Negatif,saya mau daftar premium gopay plussudah punya ktp saya tapi malah dituduh gak sesuai di dukcapilpadahal di dana berhasil premium aneh betul dan saya ulang berapa kali dengan sempurna tetap tidak bisa dengan alasan belum terdaftar di dukcapil,daftar premium gopay plussudah ktp dituduh gak sesuai dukcapilpadahal dana berhasil premium aneh ulang kali sempurna alasan terdaftar dukcapil,"['daftar', 'premium', 'gopay', 'plussudah', 'ktp', 'dituduh', 'gak', 'sesuai', 'dukcapilpadahal', 'dana', 'berhasil', 'premium', 'aneh', 'ulang', 'kali', 'sempurna', 'alasan', 'terdaftar', 'dukcapil']",daftar premium gopay plussudah ktp tuduh gak sesuai dukcapilpadahal dana hasil premium aneh ulang kali sempurna alas daftar dukcapil
Elizabeth Solaiman,5,2023-08-25 09:40:53,"Dibanding apps ojek online yg lain, aku paling suka pakai apps gojek. Kenapa? Krn sistemnya sangat bagusss...meminimalisirkan resiko kejahatan sehingga bisa berkendara dgn merasa aman dan nyaman jg praktis dan jauh lebih cepat datang dibandingkan ojek online lainnya.. drivernya jg jauh lebih sopan, rapi, dan bersih",Positif,dibanding apps ojek online yg lain aku paling suka pakai apps gojek kenapa krn sistemnya sangat bagusssmeminimalisirkan resiko kejahatan sehingga bisa berkendara dgn merasa aman dan nyaman jg praktis dan jauh lebih cepat datang dibandingkan ojek online lainnya drivernya jg jauh lebih sopan rapi dan bersih,dibanding apps ojek online yg suka pakai apps gojek krn sistemnya bagusssmeminimalisirkan resiko kejahatan berkendara dgn aman nyaman jg praktis cepat dibandingkan ojek online drivernya jg sopan rapi bersih,"['dibanding', 'apps', 'ojek', 'online', 'yg', 'suka', 'pakai', 'apps', 'gojek', 'krn', 'sistemnya', 'bagusssmeminimalisirkan', 'resiko', 'kejahatan', 'berkendara', 'dgn', 'aman', 'nyaman', 'jg', 'praktis', 'cepat', 'dibandingkan', 'ojek', 'online', 'drivernya', 'jg', 'sopan', 'rapi', 'bersih']",banding apps ojek online yg suka pakai apps gojek krn sistem bagusssmeminimalisirkan resiko jahat kendara dgn aman nyaman jg praktis cepat banding ojek online drivernya jg sopan rapi bersih
citra citata,5,2023-08-25 09:36:06,"Sangat bermanfaat banget aplikasi nya , drivernya selalu ramah, dan amanah, sukses gojek Indonesia 👍👍👍👍",Positif,sangat bermanfaat banget aplikasi nya  drivernya selalu ramah dan amanah sukses gojek indonesia ,bermanfaat banget aplikasi nya drivernya ramah amanah sukses gojek indonesia,"['bermanfaat', 'banget', 'aplikasi', 'nya', 'drivernya', 'ramah', 'amanah', 'sukses', 'gojek', 'indonesia']",manfaat banget aplikasi nya drivernya ramah amanah sukses gojek indonesia
Fia Rosantama Br Sitohang,1,2023-08-25 09:22:49,"saya mau pesan di aplikasi ini tapi kok gabisa ya, katanya ""yah ada sedikit masalah,tenang kami sedang cari solusi nya kok,mohon ditunggu ya"" tapi sudah saya tungguin dan coba lagi kok tetap gabisa ya,ini gimana nih?",Negatif,saya mau pesan di aplikasi ini tapi kok gabisa ya katanya yah ada sedikit masalahtenang kami sedang cari solusi nya kokmohon ditunggu ya tapi sudah saya tungguin dan coba lagi kok tetap gabisa yaini gimana nih,pesan aplikasi gabisa ya yah masalahtenang cari solusi nya kokmohon ditunggu ya tungguin coba gabisa yaini gimana nih,"['pesan', 'aplikasi', 'gabisa', 'ya', 'yah', 'masalahtenang', 'cari', 'solusi', 'nya', 'kokmohon', 'ditunggu', 'ya', 'tungguin', 'coba', 'gabisa', 'yaini', 'gimana', 'nih']",pesan aplikasi gabisa ya yah masalahtenang cari solusi nya kokmohon tunggu ya tungguin coba gabisa yaini gimana nih
Maria Puspa,4,2023-08-25 09:13:59,"Titik maps gojek ngarahin ke jalan buntu, kalau bisa mindahin jalurnya itu lebih bagus, kasian driver puter2. Seharusnya ada Option untuk melampirkan gambar ketika pesan lewat marketplace. Saya suka belanja lewat Tokopedia, seller kirim gosend namun seringkali rumah gak ketemu dan saya harus kontak secara pribadi drivernya untuk mengirimkan foto arah jln ke rumah saya.",Positif,titik maps gojek ngarahin ke jalan buntu kalau bisa mindahin jalurnya itu lebih bagus kasian driver puter seharusnya ada option untuk melampirkan gambar ketika pesan lewat marketplace saya suka belanja lewat tokopedia seller kirim gosend namun seringkali rumah gak ketemu dan saya harus kontak secara pribadi drivernya untuk mengirimkan foto arah jln ke rumah saya,titik maps gojek ngarahin jalan buntu mindahin jalurnya bagus kasian driver puter option melampirkan gambar pesan marketplace suka belanja tokopedia seller kirim gosend seringkali rumah gak ketemu kontak pribadi drivernya mengirimkan foto arah jln rumah,"['titik', 'maps', 'gojek', 'ngarahin', 'jalan', 'buntu', 'mindahin', 'jalurnya', 'bagus', 'kasian', 'driver', 'puter', 'option', 'melampirkan', 'gambar', 'pesan', 'marketplace', 'suka', 'belanja', 'tokopedia', 'seller', 'kirim', 'gosend', 'seringkali', 'rumah', 'gak', 'ketemu', 'kontak', 'pribadi', 'drivernya', 'mengirimkan', 'foto', 'arah', 'jln', 'rumah']",titik maps gojek ngarahin jalan buntu mindahin jalur bagus kasi driver puter option lampir gambar pesan marketplace suka belanja tokopedia seller kirim gosend seringkali rumah gak ketemu kontak pribadi drivernya kirim foto arah jln rumah
Alfonsus Andreas Halim,1,2023-08-25 08:30:51,"Makin muahal, beda sama aplikasi lain, management diubah bukan lebih Baik! Dan akhirnya Riba juga aplikasi ini, tinggi lagi rate intrest-nya.",Negatif,makin muahal beda sama aplikasi lain management diubah bukan lebih baik dan akhirnya riba juga aplikasi ini tinggi lagi rate intrestnya,muahal beda aplikasi management diubah riba aplikasi rate intrestnya,"['muahal', 'beda', 'aplikasi', 'management', 'diubah', 'riba', 'aplikasi', 'rate', 'intrestnya']",muahal beda aplikasi management ubah riba aplikasi rate intrestnya
Arif Pratama aji,1,2023-08-25 08:04:49,"Saya sudah lunasi, gopay pinjam tidak pernah terlambat. Tapi tidak bisa dipakai, tulisannya update akun. Tunggu sampai 24jam untuk tarik tunai. Sudah lebih dari 24jam masih belum bisa dipakai. Di email jg gk dibalas balas.",Negatif,saya sudah lunasi gopay pinjam tidak pernah terlambat tapi tidak bisa dipakai tulisannya update akun tunggu sampai jam untuk tarik tunai sudah lebih dari jam masih belum bisa dipakai di email jg gk dibalas balas,lunasi gopay pinjam terlambat dipakai tulisannya update akun tunggu jam tarik tunai jam dipakai email jg gk dibalas balas,"['lunasi', 'gopay', 'pinjam', 'terlambat', 'dipakai', 'tulisannya', 'update', 'akun', 'tunggu', 'jam', 'tarik', 'tunai', 'jam', 'dipakai', 'email', 'jg', 'gk', 'dibalas', 'balas']",lunas gopay pinjam lambat pakai tulis update akun tunggu jam tarik tunai jam pakai email jg gk balas balas
